customer_id,cx_name,cx_email,gender,cx_address,sign_up_date,last_login_date,date_of_birth,cx_phone_number
cid29647,Shayla Szachniewicz,sszachniewiczz@godaddy.com,Female,25598 Raven Lane,7/28/2020,1/20/2020,10/8/2009,207-592-6182
cid89175,Marcille Sennett,msennett10@biglobe.ne.jp,Male,20 Delaware Avenue,6/10/2020,1/22/2020,10/4/2001,788-438-1349
cid41346,Tamarra Quilliam,tquilliam11@51.la,Female,621 Melody Circle,8/30/2020,1/2/2020,4/9/2000,296-551-1692
cid91368,Arliene Cotillard,acotillard12@about.com,Female,25 Harbort Pass,8/24/2020,2/22/2020,9/7/2000,972-358-6036
cid59959,Sonya Firebrace,sfirebrace13@addthis.com,Female,8704 Rowland Lane,6/25/2020,12/30/2020,2/12/2000,199-913-3228
cid19972,Leonore Soigoux,lsoigoux14@yandex.ru,Male,98232 Eliot Crossing,9/5/2020,2/27/2020,6/15/1996,285-782-5737
cid86538,Arlena Dullard,adullard15@github.com,Female,397 Tomscot Parkway,11/30/2020,1/7/2020,6/15/1997,252-573-2436
cid59130,Tracie Sail,tsail16@tripod.com,Female,039 Becker Trail,9/24/2020,2/26/2020,6/15/1998,918-215-7842
cid15085,Emmalee Archibald,earchibald17@reference.com,Male,819 Dennis Terrace,3/12/2020,2/3/2020,6/15/1999,564-278-0514
cid79560,Gisela McIlvaney,gmcilvaney18@topsy.com,Male,4542 Sugar Point,12/31/2020,1/22/2020,6/15/2000,425-239-4716
cid98436,Renee Paoletti,rpaoletti19@cbsnews.com,Female,7 Village Green Hill,1/31/2020,2/25/2020,12/31/2005,154-113-5006
cid05128,Dulcy Barber,dbarber1a@friendfeed.com,Female,1375 Manufacturers Court,11/17/2020,2/25/2020,9/30/2003,114-464-6001
