customer_id,cx_name,cx_email,gender,cx_address,sign_up_date,last_login_date,date_of_birth,cx_phone_number
cid42897,Christopher Clark,logan.garcia98@email.com,Female,2827 Birchwood Path,06/26/2023,04/27/2023,08/27/1991,012-345-6789
cid42898,Abigail Lewis,layla.hernandez25@email.com,Female,2928 Cedarwood Lane,07/30/2023,05/01/2023,09/30/1992,123-456-7890
cid42899,Joseph Robinson,william.martin69@email.com,Male,3029 Elmwood Court,08/04/2023,05/05/2023,11/04/1993,234-567-8901
cid42900,Harper Jackson,madison.allen83@email.com,Female,3130 Oakwood Road,09/10/2023,05/09/2023,12/08/1994,345-678-9012
cid42901,David Wilson,benjamin.young37@email.com,Female,3231 Maplewood Boulevard,10/16/2023,05/13/2023,01/12/1996,456-789-0123
cid42902,Ella Miller,amelia.gonzalez49@email.com,Male,3332 Pinewood Way,11/21/2023,05/17/2023,02/16/1997,567-890-1234
cid42903,Robert Brown,ethan.walker68@email.com,Male,3433 Walnutwood Drive,12/28/2023,05/21/2023,03/22/1998,678-901-2345
cid42904,Scarlett Wright,chloe.thomas96@email.com,Female,3534 Hickorywood Lane,01/03/2024,05/25/2023,04/26/1999,789-012-3456
cid42905,Nicholas Jones,ava.miller71@email.com,Female,3635 Chestnutwood Avenue,02/09/2024,05/29/2023,06/30/2000,890-123-4567
cid42906,Evelyn Moore,james.brown52@email.com,Female,3736 Sprucewood Place,03/15/2024,06/02/2023,08/04/2001,901-234-5678
cid42907,Logan Garcia,mia.nelson29@email.com,Male,3837 Sycamorewood Drive,03/19/2024,06/06/2023,09/08/2002,012-345-6789
cid42908,Layla Hernandez,daniel.clark67@email.com,Female,3938 Aspenwood Lane,10/16/2023,06/10/2023,10/12/2003,123-456-7890
cid42909,William Martin,evelyn.robinson81@email.com,Female,4039 Magnoliawood Court,11/21/2023,06/14/2023,11/16/2004,234-567-8901
cid42910,Madison Allen,matthew.lewis95@email.com,Male,4140 Willowwood Road,12/28/2023,06/18/2023,12/20/2005,345-678-9012
cid42911,Benjamin Young,harper.king12@email.com,Female,4241 Birchwood Boulevard,01/03/2024,06/22/2023,01/24/2007,456-789-0123
cid42912,Amelia Gonzalez,andrew.jackson38@email.com,Female,4342 Cedarwood Way,02/09/2024,06/26/2023,02/28/2008,567-890-1234
cid42913,Ethan Walker,chloe.wright74@email.com,Female,4443 Elmwood Drive,03/15/2024,06/30/2023,04/03/2009,678-901-2345
cid42914,Chloe Thomas,christopher.moore22@email.com,Male,4544 Oakwood Path,12/18/2022,07/04/2023,05/07/2010,789-012-3456
cid42915,Ava Miller,abigail.rodriguez43@email.com,Female,4645 Maplewood Lane,01/24/2023,07/08/2023,06/11/2000,890-123-4567
cid42916,James Brown,joseph.carter86@email.com,Female,4746 Pinewood Court,02/28/2023,07/12/2023,07/15/2000,901-234-5678
cid42917,Mia Nelson,harper.wilson11@email.com,Female,4847 Walnutwood Road,03/05/2023,07/16/2023,08/19/2000,012-345-6789
cid42918,Daniel Clark,daniel.clark67@email.com,Male,4948 Hickorywood Avenue,04/12/2023,07/20/2023,09/23/2004,123-456-7890
cid42919,Evelyn Robinson,evelyn.robinson81@email.com,Female,5049 Chestnutwood Way,05/18/2023,07/24/2023,10/27/2005,234-567-8901
cid42920,Matthew Lewis,matthew.lewis95@email.com,Female,5150 Sprucewood Drive,06/26/2023,07/28/2023,12/01/2006,345-678-9012
